TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Igtp	0.99991	1	0.473	rgb(222,127,128)	2	2,2
Tbx21	Nlrc5	0.99991	1	0.529	rgb(223,116,117)	2	2,2
Tbx21	Tbkbp1	0.99991	1	0.751	rgb(225, 73, 75)	2	2,2
Zfp365	Ccng1	0.99991	1	0.185	rgb(219,182,182)	2	2,2
Zfp385a	Ccng1	0.99991	1	0.26	rgb(220,167,168)	2	2,2
Epas1	Aldoc	-0.99679	0.99	-5.6E-02	rgb(205,210,219)	1.98	2,2
Epas1	Arrb1	0.99679	0.99	0.336	rgb(221,153,153)	1.98	None
Epas1	Bcar1	0.99679	0.99	0.516	rgb(223,118,119)	1.98	None
Epas1	Bnip3	0.99679	0.99	0.221	rgb(219,175,175)	1.98	None
Epas1	Egln1	0.99679	0.99	0.33	rgb(221,154,155)	1.98	None
Epas1	Ero1l	0.99679	0.99	0.017	rgb(217,214,214)	1.98	None
Epas1	H2-Ab1	-0.99679	0.99	-5.3E-02	rgb(205,210,219)	1.98	2,2
Epas1	Hk1	0.99679	0.99	0.416	rgb(222,138,138)	1.98	2,2
Epas1	Pfkp	0.99679	0.99	0.35	rgb(221,150,151)	1.98	2,2
Epas1	Pgm2	0.99679	0.99	0.176	rgb(219,183,184)	1.98	2,2
Epas1	Plod2	0.99679	0.99	0.088	rgb(218,200,200)	1.98	2,2
Epas1	Slc2a1	0.99679	0.99	0.157	rgb(219,187,187)	1.98	None
Hif1a	2310022B05Rik	0.99679	0.99	0.485	rgb(222,124,125)	1.98	None
Hif1a	Egln1	0.99679	0.99	0.226	rgb(219,174,174)	1.98	None
Hif1a	Ero1l	0.99679	0.99	0.45	rgb(222,131,132)	1.98	None
Hif1a	Gys1	0.99679	0.99	0.428	rgb(222,135,136)	1.98	2,2
Hif1a	Muc2	0.99679	0.99	0.169	rgb(219,185,185)	1.98	None
Hif1a	P4hb	0.99679	0.99	0.556	rgb(223,111,112)	1.98	None
Hif1a	Pgm2	0.99679	0.99	0.024	rgb(217,212,213)	1.98	2,2
Hif1a	Slc2a1	0.99679	0.99	0.087	rgb(218,200,201)	1.98	None
Irf9	Parp9	0.99679	0.99	0.24	rgb(220,171,172)	1.98	None
Irf9	Rtp4	0.99679	0.99	0.275	rgb(220,164,165)	1.98	None
Irf9	Tapbp	0.99679	0.99	0.378	rgb(221,145,146)	1.98	None
Aff3	Ctla4	0.99679	0.99	0.359	rgb(221,148,149)	1.98	2,2
Aff3	Gbp5	0.99679	0.99	0.523	rgb(223,117,118)	1.98	2,2
Aff3	Serpine1	-0.99679	0.99	-3.1E-01	rgb(149,176,229)	1.98	2,2
Aff3	Slamf6	0.99679	0.99	0.268	rgb(220,166,166)	1.98	2,2
Ahrr	Cpox	0.99679	0.99	0.445	rgb(222,132,133)	1.98	2,2
Ahrr	Cyp1b1	0.99679	0.99	0.567	rgb(223,109,110)	1.98	2,2
Ahrr	Gpr15	0.99679	0.99	0.385	rgb(221,144,144)	1.98	2,2
Arrb1	Agl	0.99679	0.99	0.391	rgb(221,142,143)	1.98	2,2
Arrb1	Aldoc	0.99679	0.99	0.266	rgb(220,166,167)	1.98	2,2
Arrb1	Atp7b	0.99679	0.99	0.002	rgb(217,217,217)	1.98	2,2
Arrb1	Bcar1	0.99679	0.99	0.007	rgb(217,216,216)	1.98	2,2
Arrb1	Bnip3	0.99679	0.99	0.229	rgb(220,173,174)	1.98	2,2
Arrb1	Egln1	0.99679	0.99	0.394	rgb(221,142,142)	1.98	2,2
Arrb1	Ero1l	-0.99679	0.99	-3.7E-02	rgb(209,212,218)	1.98	2,2
Arrb1	Gys1	0.99679	0.99	0.206	rgb(219,178,178)	1.98	2,2
Arrb1	H2-Ab1	0.99679	0.99	0.324	rgb(221,155,156)	1.98	2,2
Arrb1	Mboat2	0.99679	0.99	0.258	rgb(220,168,168)	1.98	2,2
Arrb1	P4ha2	0.99679	0.99	0.121	rgb(218,194,194)	1.98	2,2
Arrb1	Pfkp	0.99679	0.99	0.216	rgb(219,176,176)	1.98	2,2
Arrb1	Pgm2	0.99679	0.99	0.16	rgb(219,186,187)	1.98	2,2
Arrb1	Slc2a1	0.99679	0.99	0.217	rgb(219,176,176)	1.98	2,2
Arrb1	Smtnl2	0.99679	0.99	0.125	rgb(218,193,193)	1.98	2,2
Atxn1	Ccdc50	0.99679	0.99	0.587	rgb(223,105,106)	1.98	2,2
Batf	Cd74	-0.99679	0.99	-2.7E-01	rgb(159,182,227)	1.98	2,2
Batf	Larp1b	0.99679	0.99	0.438	rgb(222,133,134)	1.98	2,2
Batf	Ptger4	0.99679	0.99	0.531	rgb(223,116,117)	1.98	2,2
C030039L03Rik	Ankzf1	0.99679	0.99	0.396	rgb(221,141,142)	1.98	2,2
Casz1	Sytl3	0.99679	0.99	0.29	rgb(220,162,162)	1.98	2,2
Dhx58	Irf7	0.99679	0.99	0.632	rgb(224, 96, 98)	1.98	2,2
Dhx58	Mx1	0.99679	0.99	0.135	rgb(218,191,191)	1.98	2,2
Dr1	Smek2	0.99679	0.99	0.122	rgb(218,194,194)	1.98	2,2
Foxp2	Ntrk3	0.99679	0.99	0.26	rgb(220,167,168)	1.98	2,2
Foxs1	Mylk2	0.99679	0.99	0.642	rgb(224, 94, 96)	1.98	2,2
Foxs1	Ppp1r14c	0.99679	0.99	0.505	rgb(223,121,122)	1.98	2,2
Foxs1	S100a4	0.99679	0.99	0.343	rgb(221,152,152)	1.98	2,2
Gm13212	Bcl2a1b	0.99679	0.99	0.174	rgb(219,184,184)	1.98	2,2
Gm13212	Cdkn2d	-0.99679	0.99	-4.0E-03	rgb(216,216,217)	1.98	2,2
Gm13251	Bcl2a1b	0.99679	0.99	0.034	rgb(217,210,211)	1.98	2,2
Gm13251	Cdkn2d	0.99679	0.99	0.119	rgb(218,194,194)	1.98	2,2
Gm14325	Cdkn2d	0.99679	0.99	0.115	rgb(218,195,195)	1.98	2,2
Gm14420	Bcl2a1b	-0.99679	0.99	-4.0E-02	rgb(208,212,219)	1.98	2,2
Gm14420	Cdkn2d	0.99679	0.99	0.162	rgb(219,186,186)	1.98	2,2
Gtf2a1	Nucks1	0.99679	0.99	0.369	rgb(221,146,147)	1.98	2,2
Hells	Dtl	0.99679	0.99	0.288	rgb(220,162,163)	1.98	2,2
Jund	Cebpb	0.99679	0.99	0.423	rgb(222,136,137)	1.98	2,2
Kdm5d	Ppic	-0.99679	0.99	-2.2E-01	rgb(169,188,225)	1.98	2,2
Klf2	Sell	0.99679	0.99	0.548	rgb(223,112,114)	1.98	2,2
Nfkbib	Nfkb2	0.99679	0.99	0.511	rgb(223,119,120)	1.98	2,2
Nfkbie	Dusp1	0.99679	0.99	0.191	rgb(219,180,181)	1.98	2,2
Nfkbie	Nfkb2	0.99679	0.99	0.122	rgb(218,194,194)	1.98	2,2
Npas2	Zfp280b	0.99679	0.99	0.246	rgb(220,170,170)	1.98	2,2
Nr4a2	Crem	0.99679	0.99	0.228	rgb(220,173,174)	1.98	2,2
Nr4a2	Fosl2	0.99679	0.99	0.065	rgb(218,205,205)	1.98	2,2
Nr4a2	Nr4a1	0.99679	0.99	0.351	rgb(221,150,151)	1.98	2,2
Nr4a2	Rel	0.99679	0.99	0.07	rgb(218,204,204)	1.98	2,2
Nr4a3	Nr4a1	0.99679	0.99	0.246	rgb(220,170,171)	1.98	2,2
Nrip1	Mmd	0.99679	0.99	0.289	rgb(220,162,162)	1.98	2,2
Nupr1	Aldh1l2	0.99679	0.99	0.474	rgb(222,127,128)	1.98	2,2
Nupr1	Asns	0.99679	0.99	0.11	rgb(218,196,196)	1.98	2,2
Nupr1	Chac1	0.99679	0.99	0.227	rgb(219,174,174)	1.98	2,2
Nupr1	Eif4ebp1	0.99679	0.99	0.208	rgb(219,177,178)	1.98	2,2
Nupr1	Pck2	0.99679	0.99	0.147	rgb(219,189,189)	1.98	2,2
Nupr1	Psph	0.99679	0.99	0.104	rgb(218,197,197)	1.98	2,2
Nupr1	Slc1a4	0.99679	0.99	0.339	rgb(221,152,153)	1.98	2,2
Nupr1	Slc6a9	0.99679	0.99	0.321	rgb(221,156,156)	1.98	2,2
Nupr1	Slc7a3	0.99679	0.99	0.339	rgb(221,152,153)	1.98	2,2
Nupr1	Trib3	0.99679	0.99	0.223	rgb(219,174,175)	1.98	2,2
Oasl1	Ifit1	0.99679	0.99	0.29	rgb(220,162,162)	1.98	2,2
Oasl1	Rtp4	0.99679	0.99	0.362	rgb(221,148,149)	1.98	2,2
Oasl1	Slc7a3	0.99679	0.99	0.126	rgb(218,193,193)	1.98	2,2
Orc1	Dtl	0.99679	0.99	0.232	rgb(220,173,173)	1.98	2,2
Phf6	Stat4	0.99679	0.99	0.363	rgb(221,148,148)	1.98	2,2
Phtf2	Eno3	0.99679	0.99	0.191	rgb(219,181,181)	1.98	2,2
Pou2af1	Il10ra	-0.99679	0.99	-5.4E-01	rgb( 99,145,238)	1.98	2,2
Pou2af1	Kcna3	0.99679	0.99	0.43	rgb(222,135,136)	1.98	2,2
Pou2af1	Ppfibp1	0.99679	0.99	0.448	rgb(222,131,132)	1.98	2,2
Rcor2	Slc2a3	0.99679	0.99	0.14	rgb(219,190,191)	1.98	2,2
Rorc	Ccdc63	0.99679	0.99	0.237	rgb(220,172,172)	1.98	2,2
Rorc	Lingo4	0.99679	0.99	0.649	rgb(224, 93, 94)	1.98	2,2
Runx2	Basp1	0.99679	0.99	0.383	rgb(221,144,145)	1.98	2,2
Scrt1	Dgat1	0.99679	0.99	0.207	rgb(219,177,178)	1.98	2,2
Sp110	Bcl2a1b	0.99679	0.99	0.449	rgb(222,131,132)	1.98	2,2
Sp110	Cdkn2d	0.99679	0.99	0.646	rgb(224, 94, 95)	1.98	2,2
Tal2	Tmem38b	0.99679	0.99	0.315	rgb(220,157,157)	1.98	2,2
Tbx21	Erap1	0.99679	0.99	0.065	rgb(218,205,205)	1.98	2,2
Tbx21	Gbp10	0.99679	0.99	0.265	rgb(220,166,167)	1.98	2,2
Tbx21	Gbp2	0.99679	0.99	0.307	rgb(220,158,159)	1.98	2,2
Tbx21	Gbp5	0.99679	0.99	0.2	rgb(219,179,179)	1.98	2,2
Tbx21	Gbp6	0.99679	0.99	0.284	rgb(220,163,163)	1.98	2,2
Tbx21	Gimap4	0.99679	0.99	0.472	rgb(222,127,128)	1.98	2,2
Tbx21	Icam1	0.99679	0.99	0.539	rgb(223,114,115)	1.98	2,2
Tbx21	Ly6a	0.99679	0.99	0.365	rgb(221,147,148)	1.98	2,2
Tbx21	Tgtp2	0.99679	0.99	0.443	rgb(222,132,133)	1.98	2,2
Trim21	Gbp9	0.99679	0.99	0.106	rgb(218,197,197)	1.98	2,2
Trim21	Parp9	0.99679	0.99	0.094	rgb(218,199,199)	1.98	2,2
Trim30a	Irf7	0.99679	0.99	0.238	rgb(220,172,172)	1.98	2,2
Trim30a	Mx1	0.99679	0.99	0.121	rgb(218,194,194)	1.98	2,2
Trim30a	Mx2	0.99679	0.99	0.079	rgb(218,202,202)	1.98	2,2
Trim30a	Trim12c	0.99679	0.99	0.279	rgb(220,164,164)	1.98	2,2
Trim30a	Xaf1	0.99679	0.99	0.264	rgb(220,166,167)	1.98	2,2
Wdhd1	Exo1	-0.99679	0.99	-2.4E-02	rgb(212,214,218)	1.98	2,2
Zbp1	Gbp2	0.99679	0.99	0.471	rgb(222,127,128)	1.98	2,2
Zfp219	Crem	0.99679	0.99	0.189	rgb(219,181,181)	1.98	2,2
Zfp280b	Itgb1	0.99679	0.99	0.549	rgb(223,112,113)	1.98	2,2
Zfp365	4632434I11Rik	0.99679	0.99	0.142	rgb(219,190,190)	1.98	2,2
Zfp365	9030617O03Rik	0.99679	0.99	0.314	rgb(220,157,158)	1.98	2,2
Zfp365	Eng	0.99679	0.99	0.175	rgb(219,184,184)	1.98	2,2
Zfp365	Ercc5	-0.99679	0.99	-7.5E-02	rgb(201,207,220)	1.98	2,2
Zfp365	Exoc4	0.99679	0.99	0.122	rgb(218,194,194)	1.98	2,2
Zfp365	Gtse1	0.99679	0.99	0.229	rgb(220,173,174)	1.98	2,2
Zfp365	Phlda3	0.99679	0.99	0.234	rgb(220,172,173)	1.98	2,2
Zfp365	Plxna1	0.99679	0.99	0.288	rgb(220,162,163)	1.98	2,2
Zfp365	Psrc1	0.99679	0.99	0.442	rgb(222,133,133)	1.98	2,2
Zfp365	Ptp4a3	-0.99679	0.99	-2.4E-02	rgb(212,214,218)	1.98	2,2
Zfp365	Rnf169	0.99679	0.99	0.11	rgb(218,196,196)	1.98	2,2
Zfp365	Slc19a2	0.99679	0.99	0.332	rgb(221,154,154)	1.98	2,2
Zfp365	Sulf2	0.99679	0.99	0.308	rgb(220,158,159)	1.98	2,2
Zfp365	Zmat3	0.99679	0.99	0.32	rgb(221,156,157)	1.98	2,2
Zfp367	Dtl	0.99679	0.99	0.093	rgb(218,199,199)	1.98	2,2
Zfp367	Exo1	0.99679	0.99	0.212	rgb(219,176,177)	1.98	2,2
Zfp367	Fam111a	0.99679	0.99	0.033	rgb(217,211,211)	1.98	2,2
Zfp367	Rpa2	0.99679	0.99	0.284	rgb(220,163,163)	1.98	2,2
Zfp367	Wdr76	-0.99679	0.99	-1.7E-01	rgb(180,195,223)	1.98	2,2
Zfp385a	4632434I11Rik	0.99679	0.99	0.171	rgb(219,184,185)	1.98	2,2
Zfp385a	9030617O03Rik	0.99679	0.99	0.267	rgb(220,166,166)	1.98	2,2
Zfp385a	9230114K14Rik	0.99679	0.99	0.271	rgb(220,165,166)	1.98	2,2
Zfp385a	Abhd4	0.99679	0.99	0.143	rgb(219,190,190)	1.98	2,2
Zfp385a	Bbc3	0.99679	0.99	0.357	rgb(221,149,150)	1.98	2,2
Zfp385a	Eng	0.99679	0.99	0.296	rgb(220,160,161)	1.98	2,2
Zfp385a	Ercc5	0.99679	0.99	0.359	rgb(221,148,149)	1.98	2,2
Zfp385a	Exoc4	-0.99679	0.99	-1.1E-01	rgb(193,202,221)	1.98	2,2
Zfp385a	Phlda3	0.99679	0.99	0.288	rgb(220,162,163)	1.98	2,2
Zfp385a	Plxna1	0.99679	0.99	0.31	rgb(220,158,158)	1.98	2,2
Zfp385a	Psrc1	0.99679	0.99	0.291	rgb(220,161,162)	1.98	2,2
Zfp385a	Ptp4a3	0.99679	0.99	0.37	rgb(221,146,147)	1.98	2,2
Zfp385a	Rnf169	0.99679	0.99	0.328	rgb(221,154,155)	1.98	2,2
Zfp385a	Slc19a2	0.99679	0.99	0.23	rgb(220,173,174)	1.98	2,2
Zfp385a	Sulf2	0.99679	0.99	0.178	rgb(219,183,183)	1.98	2,2
Zfp385a	Zfp365	0.99679	0.99	0.354	rgb(221,149,150)	1.98	2,2
Zfp385a	Zfp750	0.99679	0.99	0.338	rgb(221,152,153)	1.98	2,2
Zfp385a	Zmat3	0.99679	0.99	0.209	rgb(219,177,177)	1.98	2,2
Zfp467	Sspo	0.99679	0.99	0.474	rgb(222,127,127)	1.98	2,2
Zfp750	Psrc1	0.99679	0.99	0.154	rgb(219,188,188)	1.98	2,2
Zfp750	Sulf2	0.99679	0.99	0.488	rgb(222,124,125)	1.98	2,2
Epas1	2310022B05Rik	-0.99455	0.98	-1.1E-02	rgb(215,216,217)	1.96	2,2
Epas1	3110057O12Rik	0.99455	0.98	0.048	rgb(218,208,208)	1.96	2,2
Epas1	Atp7b	0.99455	0.98	0.091	rgb(218,200,200)	1.96	2,2
Epas1	P4ha2	-0.99455	0.98	-8.1E-03	rgb(215,216,217)	1.96	2,2
Epas1	Rgs11	0.99455	0.98	0.146	rgb(219,189,189)	1.96	2,2
Epas1	Smtnl2	0.99455	0.98	0.205	rgb(219,178,178)	1.96	2,2
Hif1a	Bnip3	0.99455	0.98	0.137	rgb(219,191,191)	1.96	None
Hif1a	Slc2a3	0.99455	0.98	0.385	rgb(221,143,144)	1.96	None
Hif1a	Smtnl2	0.99455	0.98	0.111	rgb(218,196,196)	1.96	None
Irf2	Tapbp	0.99455	0.98	0.339	rgb(221,152,153)	1.96	None
Irf7	Cmpk2	0.99455	0.98	0.222	rgb(219,175,175)	1.96	None
Irf9	Dtx3l	0.99455	0.98	0.272	rgb(220,165,166)	1.96	None
Irf9	Gbp9	0.99455	0.98	0.205	rgb(219,178,178)	1.96	None
Six4	Cysltr1	-0.99455	0.98	-3.0E-01	rgb(153,178,228)	1.96	2,2
Aebp2	Arhgef3	-0.99455	0.98	-2.1E-01	rgb(172,190,225)	1.96	2,2
Aff3	Gbp2	0.99455	0.98	0.431	rgb(222,135,136)	1.96	2,2
Aff3	Mgat5	-0.99455	0.98	-2.8E-01	rgb(156,180,228)	1.96	2,2
Aff3	Tgfbr3	0.99455	0.98	0.449	rgb(222,131,132)	1.96	2,2
Ankzf1	Bnip3	0.99455	0.98	0.158	rgb(219,187,187)	1.96	2,2
Ankzf1	Fzd7	0.99455	0.98	0.06	rgb(218,205,206)	1.96	2,2
Ankzf1	Slc2a1	0.99455	0.98	0.256	rgb(220,168,169)	1.96	2,2
Arrb1	3110057O12Rik	0.99455	0.98	0.123	rgb(218,194,194)	1.96	2,2
Arrb1	Fzd7	0.99455	0.98	0.199	rgb(219,179,179)	1.96	2,2
Arrb1	Muc2	0.99455	0.98	0.259	rgb(220,168,168)	1.96	2,2
Atxn1	Kcna3	0.99455	0.98	0.145	rgb(219,189,190)	1.96	2,2
Batf	Kcnk10	0.99455	0.98	0.171	rgb(219,184,185)	1.96	2,2
Batf	Nckap1	0.99455	0.98	0.225	rgb(219,174,174)	1.96	2,2
Batf	Pten	-0.99455	0.98	-1.3E-01	rgb(188,200,222)	1.96	2,2
Batf	Tg	0.99455	0.98	0.14	rgb(219,190,191)	1.96	2,2
Batf	Tspan2	-0.99455	0.98	-3.9E-01	rgb(132,165,232)	1.96	2,2
Bcl3	Socs3	0.99455	0.98	0.581	rgb(223,106,107)	1.96	2,2
Bmyc	Eno3	0.99455	0.98	0.385	rgb(221,143,144)	1.96	2,2
Brca1	Dtl	0.99455	0.98	0.024	rgb(217,212,212)	1.96	2,2
Brca1	Exo1	-0.99455	0.98	-8.8E-03	rgb(215,216,217)	1.96	2,2
C030039L03Rik	Arrb1	0.99455	0.98	0.187	rgb(219,181,182)	1.96	2,2
Casz1	Sdcbp2	0.99455	0.98	0.286	rgb(220,162,163)	1.96	2,2
Chd7	Prkch	0.99455	0.98	0.464	rgb(222,128,129)	1.96	2,2
Creb3l2	Adarb1	0.99455	0.98	0.354	rgb(221,149,150)	1.96	2,2
Dhx58	Cmpk2	0.99455	0.98	0.33	rgb(221,154,155)	1.96	2,2
Dhx58	Dtx3l	0.99455	0.98	0.004	rgb(217,216,216)	1.96	2,2
Dhx58	Mx2	0.99455	0.98	0.197	rgb(219,179,180)	1.96	2,2
Dhx58	Parp9	0.99455	0.98	0.065	rgb(218,205,205)	1.96	2,2
Dhx58	Rtp4	0.99455	0.98	0.167	rgb(219,185,185)	1.96	2,2
Dhx58	Stat2	0.99455	0.98	0.401	rgb(221,140,141)	1.96	2,2
Fosl2	Chd7	0.99455	0.98	0.183	rgb(219,182,182)	1.96	2,2
Fosl2	Socs3	0.99455	0.98	0.294	rgb(220,161,161)	1.96	2,2
Foxs1	Tnfrsf25	0.99455	0.98	0.247	rgb(220,170,170)	1.96	2,2
Foxs1	Vax2	0.99455	0.98	0.49	rgb(222,123,124)	1.96	2,2
Foxs1	Vdr	0.99455	0.98	0.433	rgb(222,134,135)	1.96	2,2
Gtf2a1	Crebbp	0.99455	0.98	0.222	rgb(219,175,175)	1.96	2,2
Hells	Exo1	0.99455	0.98	0.205	rgb(219,178,178)	1.96	2,2
Id2	Gnpda1	0.99455	0.98	0.435	rgb(222,134,135)	1.96	2,2
Id2	Rbpj	0.99455	0.98	0.275	rgb(220,165,165)	1.96	2,2
Jun	Osm	0.99455	0.98	0.399	rgb(221,141,142)	1.96	2,2
Kdm2b	Gramd1b	0.99455	0.98	0.172	rgb(219,184,184)	1.96	2,2
Kdm2b	Igfbp4	-0.99455	0.98	-3.2E-01	rgb(147,175,229)	1.96	2,2
Kdm5b	Bnip3	0.99455	0.98	0.271	rgb(220,165,166)	1.96	2,2
Kdm5b	Ccng2	0.99455	0.98	0.222	rgb(219,175,175)	1.96	2,2
Kdm5b	Pfkp	0.99455	0.98	0.302	rgb(220,159,160)	1.96	2,2
Kdm5b	Slc2a1	0.99455	0.98	0.241	rgb(220,171,172)	1.96	2,2
Lig1	Dtl	0.99455	0.98	0.131	rgb(218,192,192)	1.96	2,2
Lig1	Exo1	0.99455	0.98	0.159	rgb(219,187,187)	1.96	2,2
Lig1	Wdr76	0.99455	0.98	0.318	rgb(221,156,157)	1.96	2,2
Mxd1	Sbno2	-0.99455	0.98	-9.3E-02	rgb(197,205,221)	1.96	2,2
Mxd1	Socs3	0.99455	0.98	0.301	rgb(220,159,160)	1.96	2,2
Neil3	Anln	0.99455	0.98	0.446	rgb(222,132,133)	1.96	2,2
Nfkbie	Nr4a1	0.99455	0.98	0.21	rgb(219,177,177)	1.96	2,2
Nfkbie	Prkcd	0.99455	0.98	0.239	rgb(220,171,172)	1.96	2,2
Nfkbie	Stat4	0.99455	0.98	0.316	rgb(220,157,157)	1.96	2,2
Nr4a2	Nr4a3	0.99455	0.98	0.288	rgb(220,162,163)	1.96	2,2
Nr4a3	Egr3	0.99455	0.98	0.244	rgb(220,170,171)	1.96	2,2
Nrip1	Itga4	0.99455	0.98	0.158	rgb(219,187,187)	1.96	2,2
Nupr1	Gpt2	0.99455	0.98	0.308	rgb(220,158,159)	1.96	2,2
Nupr1	Pycr1	0.99455	0.98	0.231	rgb(220,173,173)	1.96	2,2
Nupr1	Sars	0.99455	0.98	0.403	rgb(221,140,141)	1.96	2,2
Oasl1	Aldh1l2	0.99455	0.98	0.191	rgb(219,181,181)	1.96	2,2
Oasl1	Rsad2	0.99455	0.98	0.296	rgb(220,160,161)	1.96	2,2
Orc1	Exo1	0.99455	0.98	0.076	rgb(218,203,203)	1.96	2,2
Pou2af1	Antxr2	0.99455	0.98	0.446	rgb(222,132,133)	1.96	2,2
Prkdc	Dtl	0.99455	0.98	0.224	rgb(219,174,175)	1.96	2,2
Purb	Klf13	0.99455	0.98	0.177	rgb(219,183,183)	1.96	2,2
Rcor2	Syce2	0.99455	0.98	0.245	rgb(220,170,171)	1.96	2,2
Rorc	Klhl6	0.99455	0.98	0.258	rgb(220,168,168)	1.96	2,2
Runx2	Padi2	0.99455	0.98	0.322	rgb(221,155,156)	1.96	2,2
Sap30	Pfkp	-0.99455	0.98	-8.8E-02	rgb(198,205,220)	1.96	2,2
Sos2	Rai14	0.99455	0.98	0.075	rgb(218,203,203)	1.96	2,2
Stat2	Dtx3l	0.99455	0.98	0.019	rgb(217,213,213)	1.96	2,2
Stat2	Parp9	0.99455	0.98	0.219	rgb(219,175,176)	1.96	2,2
Tbx21	Dtx3l	0.99455	0.98	0.091	rgb(218,200,200)	1.96	2,2
Tbx21	Gbp4	0.99455	0.98	0.127	rgb(218,193,193)	1.96	2,2
Tbx21	Notch1	0.99455	0.98	0.438	rgb(222,133,134)	1.96	2,2
Tigd2	Gprin3	0.99455	0.98	0.501	rgb(223,121,122)	1.96	2,2
Trim16	Slco4a1	0.99455	0.98	0.245	rgb(220,170,171)	1.96	2,2
Trim21	Gbp6	0.99455	0.98	0.187	rgb(219,181,182)	1.96	2,2
Trim30a	Cmpk2	-0.99455	0.98	-2.0E-02	rgb(213,214,218)	1.96	2,2
Trim30a	Herc6	0.99455	0.98	0.129	rgb(218,192,193)	1.96	2,2
Trim30a	Parp9	0.99455	0.98	0.048	rgb(218,208,208)	1.96	2,2
Trim30a	Tapbp	-0.99455	0.98	-4.5E-02	rgb(207,211,219)	1.96	2,2
Txk	Klhl6	0.99455	0.98	0.48	rgb(222,125,126)	1.96	2,2
Txk	Tcp11l2	0.99455	0.98	0.449	rgb(222,131,132)	1.96	2,2
Utf1	Kndc1	0.99455	0.98	0.281	rgb(220,163,164)	1.96	2,2
Wdhd1	Dtl	0.99455	0.98	0.026	rgb(217,212,212)	1.96	2,2
Wdhd1	Wdr76	0.99455	0.98	0.149	rgb(219,189,189)	1.96	2,2
Xrn1	Ocrl	0.99455	0.98	0.293	rgb(220,161,162)	1.96	2,2
Xrn1	Zkscan17	0.99455	0.98	0.11	rgb(218,196,196)	1.96	2,2
Zbp1	Gbp10	0.99455	0.98	0.281	rgb(220,163,164)	1.96	2,2
Zbp1	Parp9	0.99455	0.98	0.114	rgb(218,195,196)	1.96	2,2
Zeb2	Srgap3	0.99455	0.98	0.347	rgb(221,151,151)	1.96	2,2
Zfp280b	Itpr1	0.99455	0.98	0.164	rgb(219,186,186)	1.96	2,2
Zfp329	Neat1	0.99455	0.98	0.411	rgb(222,138,139)	1.96	2,2
Zfp365	Glipr1	0.99455	0.98	0.301	rgb(220,159,160)	1.96	2,2
Zfp385a	Glipr1	0.99455	0.98	0.016	rgb(217,214,214)	1.96	2,2
Zfp385a	Gria3	0.99455	0.98	0.297	rgb(220,160,161)	1.96	2,2
Zfp385a	Gtse1	0.99455	0.98	0.206	rgb(219,178,178)	1.96	2,2
Zfp385a	Lrrc28	-0.99455	0.98	-7.3E-02	rgb(201,207,220)	1.96	2,2
Zfp385a	St14	0.99455	0.98	0.167	rgb(219,185,185)	1.96	2,2
Zfp608	Fut7	0.99455	0.98	0.023	rgb(217,213,213)	1.96	2,2
Zfp629	Zkscan17	0.99455	0.98	0.405	rgb(221,140,140)	1.96	2,2
Zfp654	Slc2a1	0.99455	0.98	0.166	rgb(219,185,186)	1.96	2,2
Zfp750	Ercc5	0.99455	0.98	0.092	rgb(218,199,200)	1.96	2,2
Epas1	Agl	0.99252	0.97	0.11	rgb(218,196,196)	1.94	None
Hif1a	H2-Ab1	0.99252	0.97	0.02	rgb(217,213,213)	1.94	None
Hif1a	Plcxd1	0.99252	0.97	0.304	rgb(220,159,160)	1.94	2,2
Nr3c1	Ptk7	0.99252	0.97	0.662	rgb(224, 91, 92)	1.94	None
Six4	Slc4a11	-0.99252	0.97	-3.0E-01	rgb(151,177,229)	1.94	2,2
Trp53	Gtse1	0.99252	0.97	0.163	rgb(219,186,186)	1.94	None
Trp73	Ccng1	0.99252	0.97	0.238	rgb(220,172,172)	1.94	2,2
Aff3	Gcnt2	-0.99252	0.97	-1.0E-02	rgb(215,216,217)	1.94	2,2
Aff3	Il12rb2	0.99252	0.97	0.154	rgb(219,188,188)	1.94	2,2
Aff3	Neu3	0.99252	0.97	0.019	rgb(217,213,213)	1.94	2,2
Arrb1	Ccng2	-0.99252	0.97	-1.2E-02	rgb(214,215,217)	1.94	2,2
Arrb1	Ndrg2	0.99252	0.97	0.242	rgb(220,171,171)	1.94	2,2
Arrb1	Rgs11	0.99252	0.97	0.064	rgb(218,205,205)	1.94	2,2
Atmin	Chst15	0.99252	0.97	0.456	rgb(222,130,131)	1.94	2,2
Atxn1	Ahnak	0.99252	0.97	0.317	rgb(220,157,157)	1.94	2,2
Atxn1	Cyr61	0.99252	0.97	0.348	rgb(221,150,151)	1.94	2,2
Batf	Ccr7	-0.99252	0.97	-3.3E-01	rgb(145,173,230)	1.94	2,2
Batf	Gbp5	-0.99252	0.97	-3.5E-01	rgb(142,171,230)	1.94	2,2
Batf	Gpr68	0.99252	0.97	0.27	rgb(220,165,166)	1.94	2,2
Batf	Gucy2e	0.99252	0.97	0.438	rgb(222,133,134)	1.94	2,2
Batf	Itgb3	0.99252	0.97	0.156	rgb(219,187,187)	1.94	2,2
Batf	Pyhin1	-0.99252	0.97	-1.4E-01	rgb(186,198,222)	1.94	2,2
Brip1	Anln	0.99252	0.97	0.251	rgb(220,169,170)	1.94	2,2
